id,name_ja,name_zh,brand,category,price_jpy,selling_price_jpy,image_url,image_filename,colors,available,wholesale_item_id
refa-3717,ReFa FINE BUBBLE PRO FIT アダプターC,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3717
refa-3718,ReFa FINE BUBBLE PRO FIT アダプターD,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3718
refa-3719,ReFa FINE BUBBLE PRO FIT アダプターE,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3719
refa-3720,ReFa FINE BUBBLE PRO FIT アダプターF,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3720
refa-3822,ReFa SPA TABLET 60錠,,ReFa,美容家電,8000,,/images/ReFa SPA TABLET.jpg,ReFa SPA TABLET.jpg,,TRUE,3822
refa-4158,ReFa EPI W COOL,,ReFa,美容家電,110000,,/images/ReFa EPI W COOL.jpg,ReFa EPI W COOL.jpg,,TRUE,4158
refa-3965,ReFa EPI COOL,,ReFa,美容家電,62000,,/images/ReFa EPI COOL.jpg,ReFa EPI COOL.jpg,白,TRUE,3965
refa-3425,ReFa BEAUTECH POINT,,ReFa,美容家電,13000,,/images/ReFa BEAUTECH POINT.jpg,ReFa BEAUTECH POINT.jpg,,TRUE,3425
refa-3966,ReFa MULTI SHAVER,,ReFa,美容家電,7000,,/images/ReFa MULTI SHAVER.jpg,ReFa MULTI SHAVER.jpg,白,TRUE,3966
refa-3968,ReFa MULTI SHAVER HEAD（I字刃）,,ReFa,美容家電,1500,,/images/ReFa MULTI SHAVER.jpg,ReFa MULTI SHAVER.jpg,,TRUE,3968
refa-3969,ReFa MULTI SHAVER HEAD（トリマー刃）,,ReFa,美容家電,1500,,,,白,TRUE,3969
refa-3970,ReFa MULTI SHAVER HEAD（ネット刃）,,ReFa,美容家電,1500,,/images/ReFa MULTI SHAVER.jpg,ReFa MULTI SHAVER.jpg,白,TRUE,3970
refa-3376,ReFa SKIM SHAVER,,ReFa,美容家電,4800,,/images/ReFa SKIM SHAVER.jpg,ReFa SKIM SHAVER.jpg,白,TRUE,3376
refa-3377,ReFa SKIM SHAVER 替え刃(2枚入り),,ReFa,美容家電,1600,,/images/ReFa SKIM SHAVER.jpg,ReFa SKIM SHAVER.jpg,,TRUE,3377
refa-2855,ReFa MEDICAL CREAM WASH 120g,,ReFa,美容家電,2800,,/images/ReFa MEDICAL CREAM WASH.jpg,ReFa MEDICAL CREAM WASH.jpg,,TRUE,2855
refa-3489,ReFa HARI MAKE 4包輸送箱セット,,ReFa,美容家電,5400,,/images/ReFa HARI MAKE.jpg,ReFa HARI MAKE.jpg,,TRUE,3489
refa-3392,ReFa C.P.SERUM LIFT 50mL（引き締め）,,ReFa,ヘアケア,4364,,,,,TRUE,3392
refa-3390,ReFa SMOOTH GEL 200mL,,ReFa,美容家電,1818,,/images/ReFa SMOOTH GEL.jpg,ReFa SMOOTH GEL.jpg,,TRUE,3390
refa-3925,ReFa SPARKLING BODY SERUM 150g,,ReFa,ヘアケア,4500,,/images/ReFa SPARKLING BODY SERUM.jpg,ReFa SPARKLING BODY SERUM.jpg,,TRUE,3925
refa-3576,ReFa SPA FOAM WASH 340g,,ReFa,美容家電,5800,,/images/ReFa SPA FOAM WASH.jpg,ReFa SPA FOAM WASH.jpg,,TRUE,3576
refa-3428,ReFa MICRO CP GEL CLEANSING 500mL,,ReFa,美容家電,9000,,,,,TRUE,3428
refa-3140,FINE BUBBLE for professional 滑り止めゴム,,ReFa,美容家電,200,,,,,TRUE,3140
